nome,patrimonio,salario
Classe E #66,1476.45,1876.59
Classe E #67,1349.36,1550.00
Classe E #68,1502.38,1755.63
Classe E #69,1105.69,1550.00
Classe E #70,598.99,1676.18
Classe E #71,2302.76,1581.79
Classe E #72,1124.50,1550.00
Classe E #73,2041.40,2000.02
Classe E #74,1650.55,1746.07
Classe E #75,2479.22,1550.00
Classe E #76,1612.27,1550.00
Classe E #77,916.36,1550.00
Classe E #78,2394.05,1550.00
Classe E #79,1067.06,2085.80
Classe E #80,1341.93,1550.00
Classe E #81,460.67,1715.61
Classe E #82,967.22,1738.78
Classe E #83,1199.92,1550.00
Classe E #84,1966.55,1856.21
Classe E #85,1688.34,1550.00
Classe E #86,2339.12,1550.00
Classe E #87,617.62,1550.00
Classe E #88,1603.63,1550.00
Classe E #89,1535.89,1714.13
Classe E #90,2025.84,1550.00
Classe E #91,1750.53,1550.00
Classe E #92,2358.91,1550.00
Classe E #93,1491.46,2016.77
Classe E #94,1380.15,1945.52
Classe E #95,511.09,1550.00
Classe E #96,1791.71,1550.00
Classe E #97,964.24,1556.76
Classe E #98,1658.24,1628.16
Classe E #99,1737.36,1732.48
Classe E #100,1758.58,1833.18
Classe E #101,1616.81,1550.00
Classe E #102,1302.55,1550.00
Classe E #103,2235.41,1550.00
Classe E #104,2075.66,1858.99
Classe E #105,1027.19,1550.00
Classe E #106,1955.54,1550.00
Classe E #107,1713.29,1789.90
Classe E #108,774.43,1705.78
Classe E #109,1722.11,1550.00
Classe E #110,1024.75,1871.22
Classe E #111,1032.58,1550.00
Classe E #112,2384.59,1550.00
Classe E #113,1204.23,1876.94
Classe E #114,1259.27,1550.00
Classe E #115,1571.00,1550.00
Classe E #116,1335.82,1550.00
Classe E #117,1225.33,1632.97
Classe E #118,2146.63,1550.00
Classe E #119,580.76,1567.93
Classe E #120,1152.63,1550.00
Classe E #121,849.93,1646.63
Classe E #122,661.01,1658.38
Classe E #123,670.27,1550.00
Classe E #124,1150.95,1598.35
Classe E #125,985.11,1550.00
Classe E #126,806.92,1550.00
Classe E #127,2127.63,1550.00
Classe E #128,1871.27,1550.00
Classe E #129,1700.41,1550.00
Classe E #130,1512.67,1550.00
Classe E #131,1116.67,1550.00
Classe E #132,727.74,1550.00
Classe E #133,971.20,1550.00
Classe E #134,2310.55,1936.52
Classe E #135,1492.31,1550.00
Classe E #136,2537.22,1550.00
Classe E #137,1497.98,1550.00
Classe E #138,1298.76,1550.00
Classe E #139,1895.06,1550.00
Classe E #140,1740.96,1625.51
Classe E #141,2317.52,1655.73
Classe E #142,994.21,1550.00
Classe E #143,2081.77,1550.00
Classe E #144,445.89,1645.39
Classe E #145,1229.70,1550.00
Classe E #146,1407.85,1775.04
Classe E #147,1304.15,1550.00
Classe E #148,2009.63,1894.21
Classe E #149,1058.91,2084.16
Classe E #150,1953.27,1634.38
Classe E #151,1551.19,1550.00
Classe E #152,1762.22,1896.18
Classe E #153,2276.90,1550.00
Classe E #154,1588.03,1550.00
Classe E #155,1614.33,1550.00
Classe E #156,2441.47,1550.00
Classe E #157,846.51,1650.94
Classe E #158,1286.96,1550.00
Classe E #159,1865.34,1550.00
Classe E #160,1325.94,1550.00
Classe E #161,2449.43,1550.00
Classe E #162,1413.54,1550.00
Classe E #163,1733.36,1550.00
Classe E #164,1303.13,1550.00
Classe E #165,1645.34,1654.13
Classe E #166,393.96,1550.00
Classe E #167,1934.63,1722.66
Classe E #168,524.22,1550.00
Classe E #169,1488.97,1550.00
Classe E #170,782.85,1550.00
Classe E #171,1529.38,1605.68
Classe E #172,464.58,1550.00
Classe E #173,1476.46,1571.18
Classe E #174,1527.14,1550.00
Classe E #175,1998.49,1550.00
Classe E #176,1657.07,1550.00
Classe E #177,1403.37,1550.00
Classe E #178,1167.73,1868.37
Classe E #179,931.03,1550.00
Classe E #180,1835.68,1550.00
Classe E #181,1713.02,1713.36
Classe E #182,1423.93,1724.12
Classe E #183,1271.78,1585.28
Classe E #184,1048.78,1652.06
Classe E #185,1257.38,1550.00
Classe E #186,1160.98,1550.00
Classe E #187,1461.21,1706.67
Classe E #188,1085.61,1550.00
Classe E #189,1282.83,1550.00
Classe E #190,2005.28,1550.00
Classe E #191,1430.90,1860.51
Classe E #192,1419.53,1550.00
Classe E #193,955.19,1673.05
Classe E #194,1555.45,1560.91
Classe E #195,883.94,1550.00
Classe E #196,1361.53,1550.00
Classe E #197,1070.45,1791.76
Classe E #198,1296.39,1550.00
Classe E #199,951.69,1567.20
Classe E #200,1715.32,1638.86
Classe E #201,1946.14,1550.00
Classe E #202,2141.19,1580.02
Classe E #203,1881.48,1550.00
Classe E #204,692.73,1596.96
Classe E #205,1020.66,1550.00
Classe E #206,602.44,1891.77
Classe E #207,484.88,1987.92
Classe E #208,1795.16,1550.00
Classe E #209,1196.67,1550.00
Classe E #210,1932.84,1550.00
Classe E #211,1040.72,1550.00
Classe E #212,1318.32,1550.00
Classe E #213,1422.08,1550.00
Classe E #214,1196.04,1690.81
Classe E #215,1624.31,1696.75
Classe E #216,1130.12,1550.00
Classe E #217,1028.06,1751.71
Classe E #218,1432.11,1550.00
Classe E #219,969.51,1550.00
Classe E #220,1704.35,1864.75
Classe E #221,974.39,1550.00
Classe E #222,895.39,1628.83
Classe E #223,1593.59,1550.00
Classe E #224,1592.60,1550.00
Classe E #225,1349.45,1550.00
Classe E #226,1893.34,1550.00
Classe E #227,673.66,1550.00
Classe E #228,1908.41,1802.29
Classe E #229,1946.59,1718.01
Classe E #230,2229.10,1550.00
Classe E #231,1686.11,1550.00
Classe E #232,368.44,1550.00
Classe E #233,1142.33,1550.00
Classe E #234,1010.55,1874.54
Classe E #235,2340.17,1550.00
Classe E #236,1184.64,1550.00
Classe E #237,1180.83,1550.00
Classe E #238,1018.65,1550.00
Classe E #239,1951.03,1730.06
Classe E #240,1765.36,1550.00
Classe E #241,1128.09,1676.38
Classe E #242,772.31,1794.54
Classe E #243,1115.53,1795.00
Classe E #244,1707.48,1550.00
Classe E #245,1233.23,1709.17
Classe E #246,1752.33,1698.86
Classe E #247,1452.98,1550.00
Classe E #248,1126.92,1712.40
Classe E #249,1237.14,1791.96
Classe E #250,1060.55,1593.22
Classe E #251,1566.60,1842.26
Classe E #252,1156.18,1550.00
Classe E #253,1970.96,1856.10
Classe E #254,1300.31,1550.00
Classe E #255,481.57,1550.00
Classe E #256,1295.49,1550.00
Classe E #257,2301.70,1550.00
Classe E #258,1676.78,1550.00
Classe E #259,648.63,1550.00
Classe E #260,1659.99,1550.00
Classe E #261,1291.07,1794.54
Classe E #262,1495.89,1550.00
Classe E #263,964.30,1695.18
Classe E #264,1188.31,1865.56
Classe E #265,908.41,1550.00
Classe E #266,1441.73,1723.93
Classe E #267,580.98,1550.00
Classe E #268,1547.38,1638.80
Classe E #269,1637.23,1550.00
Classe E #270,1303.25,1570.15
Classe E #271,2513.49,1550.00
Classe E #272,2480.63,1550.00
Classe E #273,1120.33,1550.00
Classe E #274,1485.96,1611.03
Classe E #275,1711.62,1750.50
Classe E #276,896.52,1624.80
Classe E #277,1119.70,1760.68
Classe E #278,1259.51,1670.40
Classe E #279,2009.98,1564.41
Classe E #280,1530.36,1972.60
Classe E #281,1476.02,1563.98
Classe E #282,757.00,1550.00
Classe E #283,1103.36,1550.00
Classe E #284,1035.58,1550.00
Classe E #285,1337.29,1566.80
Classe E #286,1296.93,1550.00
Classe E #287,1877.56,1550.00
Classe E #288,1924.51,1550.00
Classe E #289,1488.93,1550.00
Classe E #290,2040.28,1586.27
Classe E #291,1240.98,1550.00
Classe E #292,1883.18,1550.00
Classe E #293,1782.63,1550.00
Classe E #294,1713.38,1550.00
Classe E #295,1920.89,1550.00
Classe E #296,0.00,1550.00
Classe E #297,1495.02,1599.02
Classe E #298,1027.74,1550.00
Classe E #299,1020.88,1617.36
Classe E #300,1880.09,1550.00
